resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/17 7:48:48.00,ADMINISTRATION,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/20 12:22:59.00,SUPERVISOR,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
SYSTEM,Request Payment,2018/9/21 19:01:45.00,UNDEFINED,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
SYSTEM,Payment Handled,2018/9/27 15:31:25.00,UNDEFINED,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/12 9:00:44.00,EMPLOYEE,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/12 9:03:53.00,ADMINISTRATION,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/4/19 7:52:36.00,SUPERVISOR,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/4/19 8:15:05.00,DIRECTOR,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/19 9:19:29.00,EMPLOYEE,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/4/19 9:19:41.00,ADMINISTRATION,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/4/23 14:46:56.00,SUPERVISOR,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
SYSTEM,Request Payment,2018/4/23 15:06:15.00,UNDEFINED,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
SYSTEM,Payment Handled,2018/4/26 15:30:55.00,UNDEFINED,travel permit number 33320,task 33323,organizational unit 65461,532.311155,task 427,budget 1969,project 5711,project 503,request for payment 33324,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/26 11:52:09.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65465,1016.344659,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186028,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/4/26 11:53:31.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65465,1016.344659,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186028,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/4/26 13:45:23.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65465,1016.344659,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186028,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/11/23 9:06:19.00,EMPLOYEE,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/11/23 9:06:22.00,ADMINISTRATION,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/11/23 12:34:38.00,SUPERVISOR,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/28 20:07:37.00,EMPLOYEE,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/28 20:07:40.00,ADMINISTRATION,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/29 18:30:25.00,SUPERVISOR,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
SYSTEM,Request Payment,2018/12/2 18:57:35.00,UNDEFINED,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
SYSTEM,Payment Handled,2018/12/6 16:31:34.00,UNDEFINED,travel permit number 50271,task 48624,organizational unit 65465,322.7621334,task 427,budget 871,project 14100,project 503,request for payment 50272,organizational unit 65464,1275.739658,travel permit 50270,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/8 13:15:53.00,EMPLOYEE,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/8 13:18:37.00,ADMINISTRATION,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/1/11 11:19:18.00,BUDGET OWNER,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/1/18 4:15:14.00,SUPERVISOR,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Request Payment,2018/2/5 14:21:18.00,UNDEFINED,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Payment Handled,2018/2/8 16:31:11.00,UNDEFINED,travel permit number 424,task 185521,organizational unit 65468,644.637625,task 427,budget 425,project 426,project 503,request for payment 185757,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/5/14 16:54:44.00,EMPLOYEE,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/5/14 16:54:57.00,ADMINISTRATION,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/5/15 11:27:31.00,BUDGET OWNER,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/5/22 3:15:26.00,SUPERVISOR,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/15 0:38:41.00,EMPLOYEE,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/6/15 0:39:21.00,ADMINISTRATION,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/6/15 9:42:38.00,BUDGET OWNER,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/6/19 7:28:17.00,SUPERVISOR,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
SYSTEM,Request Payment,2018/6/19 7:28:17.00,UNDEFINED,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
SYSTEM,Payment Handled,2018/6/21 15:31:09.00,UNDEFINED,travel permit number 21155,UNKNOWN,organizational unit 65468,646.1703282,UNKNOWN,budget 1327,UNKNOWN,project 503,request for payment 21157,organizational unit 65466,1293.862848,travel permit 21154,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/3/22 10:26:57.00,EMPLOYEE,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/3/22 10:27:18.00,PRE_APPROVER,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/3/22 15:50:16.00,SUPERVISOR,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/3/28 8:22:28.00,EMPLOYEE,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/3/28 8:31:27.00,PRE_APPROVER,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/3/28 13:41:19.00,SUPERVISOR,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
SYSTEM,Request Payment,2017/3/29 10:27:27.00,UNDEFINED,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
SYSTEM,Payment Handled,2017/4/3 15:31:12.00,UNDEFINED,travel permit number 72552,task 25860,organizational unit 65463,220.6989337,task 427,budget 19492,project 19841,project 503,request for payment 72553,organizational unit 65455,243.688406,travel permit 72551,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/12 15:59:18.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65466,471.2428608,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186565,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/12 16:00:32.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65466,471.2428608,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186565,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/14 12:41:15.00,SUPERVISOR,UNKNOWN,UNKNOWN,organizational unit 65466,471.2428608,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186565,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/12/14 21:34:04.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65466,471.2428608,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186565,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/12/20 16:31:30.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65466,471.2428608,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186565,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/23 14:26:59.00,EMPLOYEE,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/23 14:27:02.00,ADMINISTRATION,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/2/26 10:36:55.00,BUDGET OWNER,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/27 9:29:55.00,SUPERVISOR,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Request Payment,2018/3/1 8:58:49.00,UNDEFINED,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Payment Handled,2018/3/5 16:30:58.00,UNDEFINED,travel permit number 424,UNKNOWN,organizational unit 65456,40.05584491,task 427,budget 425,project 426,project 503,request for payment 185833,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/6 7:21:00.00,EMPLOYEE,travel permit number 70591,task 70593,organizational unit 65461,14.97107615,task 427,budget 1969,project 68973,project 503,request for payment 70592,organizational unit 65456,124.7589679,travel permit 70590,UNKNOWN
